"","Produit","Exporté","Kcal_kg","Protéine_prct","nourrit_kcal","nourrit_prot"
"1","Maïs",57260,3013,7,205.508493150685,219.627397260274
"2","Riz (Eq Blanchi)",53467,3656,7,232.847351995235,205.078904109589
"3","Blé",48876,2849,8,165.869832042883,214.25095890411
"4","Huile de Palme",44218,8718,0,459.193000595593,0
"5","Manioc",40176,987,1,47.2349160214413,22.0142465753425
"6","Sucre Eq Brut",25423,3593,0,108.808622989875,0
"7","Légumes, Autres",24098,271,1,7.77910422870756,13.2043835616438
"8","Bananes",19311,614,1,14.123828469327,10.5813698630137
"9","Soja",17547,3295,28,68.8711911852293,269.214246575342
"10","Fruits, Autres",16049,438,1,8.37339130434783,8.79397260273973
"11","Poissons Pelagiques",14420,933,11,16.0260393091126,86.9150684931507
"12","Orge",10163,2525,6,30.5676891006552,33.412602739726
"13","Lait - Excl Beurre",9533,587,3,6.66571888028588,15.6706849315068
"14","Tomates",8874,209,1,2.20925074449077,4.86246575342466
"15","Ananas",8782,442,0,4.62375699821322,0
