"","clust"
"Afghanistan",1
"Angola",1
"Bénin",1
"Burkina Faso",1
"Cameroun",1
"Côte d'Ivoire",1
"Éthiopie",1
"Gambie",1
"Ghana",1
"Guinée",1
"Guinée-Bissau",1
"Îles Salomon",1
"Iraq",1
"Jordanie",1
"Kenya",1
"Liban",1
"Libéria",1
"Madagascar",1
"Malawi",1
"Mali",1
"Mauritanie",1
"Mozambique",1
"Niger",1
"Nigéria",1
"Ouganda",1
"République-Unie de Tanzanie",1
"Rwanda",1
"Sao Tomé-et-Principe",1
"Sénégal",1
"Sierra Leone",1
"Tadjikistan",1
"Tchad",1
"Timor-Leste",1
"Togo",1
"Yémen",1
"Zambie",1
"Afrique du Sud",2
"Algérie",2
"Arabie saoudite",2
"Arménie",2
"Azerbaïdjan",2
"Barbade",2
"Bosnie-Herzégovine",2
"Bulgarie",2
"Chili",2
"Chine, continentale",2
"Chine, Taiwan Province de",2
"Chypre",2
"Colombie",2
"Costa Rica",2
"Cuba",2
"Dominique",2
"Égypte",2
"El Salvador",2
"Émirats arabes unis",2
"Fidji",2
"Géorgie",2
"Guyana",2
"Indonésie",2
"Iran (République islamique d')",2
"Jamaïque",2
"Japon",2
"Kirghizistan",2
"Kiribati",2
"Macédoine du Nord",2
"Malaisie",2
"Maroc",2
"Maurice",2
"Mexique",2
"Myanmar",2
"Nouvelle-Calédonie",2
"Ouzbékistan",2
"Panama",2
"Paraguay",2
"Pérou",2
"Polynésie française",2
"Laos",2
"République dominicaine",2
"Sainte-Lucie",2
"Saint-Vincent-et-les Grenadines",2
"Samoa",2
"Serbie",2
"Slovaquie",2
"Suriname",2
"Thaïlande",2
"Trinité-et-Tobago",2
"Tunisie",2
"Turkménistan",2
"Turquie",2
"Ukraine",2
"Uruguay",2
"Viet Nam",2
"Albanie",3
"Allemagne",3
"Argentine",3
"Australie",3
"Autriche",3
"Bélarus",3
"Belgique",3
"Brésil",3
"Canada",3
"Chine - RAS de Hong-Kong",3
"Chine - RAS de Macao",3
"Croatie",3
"Danemark",3
"Espagne",3
"Estonie",3
"États-Unis d'Amérique",3
"Fédération de Russie",3
"Finlande",3
"France",3
"Grèce",3
"Hongrie",3
"Irlande",3
"Islande",3
"Israël",3
"Italie",3
"Kazakhstan",3
"Lettonie",3
"Lituanie",3
"Luxembourg",3
"Malte",3
"Monténégro",3
"Norvège",3
"Nouvelle-Zélande",3
"Pays-Bas",3
"Pologne",3
"Portugal",3
"Corée du Sud",3
"Roumanie",3
"Royaume-Uni",3
"Slovénie",3
"Suède",3
"Suisse",3
"Tchéquie",3
"Antigua-et-Barbuda",4
"Bahamas",4
"Bangladesh",4
"Belize",4
"Bolivie (État plurinational de)",4
"Botswana",4
"Cabo Verde",4
"Cambodge",4
"Congo",4
"Djibouti",4
"Équateur",4
"Eswatini",4
"Grenade",4
"Guatemala",4
"Haïti",4
"Honduras",4
"Inde",4
"Lesotho",4
"Mongolie",4
"Namibie",4
"Népal",4
"Nicaragua",4
"Pakistan",4
"Philippines",4
"République centrafricaine",4
"République de Moldova",4
"Corée du Nord",4
"Saint-Kitts-et-Nevis",4
"Soudan",4
"Sri Lanka",4
"Vanuatu",4
"Venezuela",4
"Zimbabwe",4
"Gabon",5
"Koweït",5
"Maldives",5
"Oman",5
